# TUFS Basic Arabic Wordnet	arb	http://www.coelang.tufs.ac.jp/mt/ar/	CC BY 4.0
15210045-n	arb:lemma	يناير
00396523-a	arb:exe	0	يا ليلي، امشي في شارع مضيء ولا تمشي في شارع مظلم.
00396523-a	arb:count	مضيء	1
00396523-a	arb:pron	مضيء			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_263.mp3	
00396523-a	arb:lemma	فاتح
00396523-a	arb:exe	0	بدأ لون السماء يتغير من الأزرق الفاتح إلى الأزرق الداكن ثم إلى اللون الأحمر.
00396523-a	arb:count	فاتح	1
00396523-a	arb:pron	فاتح			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_451.mp3	
00269989-a	arb:lemma	مضيء
00269989-a	arb:exe	0	يا ليلي، امشي في شارع مضيء ولا تمشي في شارع مظلم.
00269989-a	arb:count	مضيء	1
00269989-a	arb:pron	مضيء			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_263.mp3	
00269989-a	arb:lemma	فاتح
00269989-a	arb:exe	0	بدأ لون السماء يتغير من الأزرق الفاتح إلى الأزرق الداكن ثم إلى اللون الأحمر.
00269989-a	arb:count	فاتح	1
00269989-a	arb:pron	فاتح			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_451.mp3	
00278551-a	arb:lemma	مضيء
00278551-a	arb:exe	0	يا ليلي، امشي في شارع مضيء ولا تمشي في شارع مظلم.
00278551-a	arb:count	مضيء	1
00278551-a	arb:pron	مضيء			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_263.mp3	
00278551-a	arb:lemma	فاتح
00278551-a	arb:exe	0	بدأ لون السماء يتغير من الأزرق الفاتح إلى الأزرق الداكن ثم إلى اللون الأحمر.
00278551-a	arb:count	فاتح	1
00278551-a	arb:pron	فاتح			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_451.mp3	
02924116-n	arb:lemma	حافلة	حافلات__morph:pl
02924116-n	arb:pron	حافلة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_30.mp3	
02924116-n	arb:lemma	حَافِلَةٌ
02924116-n	arb:exe	0	هُنَاكَ حَافِلَةٌ.
02924116-n	arb:exe	1	أيّهما أسرع، الحافلة أم القطار؟
02924116-n	arb:exe	2	أيّهما الأسرع، الحافلة أم المترو؟
02924116-n	arb:exe	3	أيّ حافلة يجب أن أركب؟
02924116-n	arb:exe	4	أيّهما أسرع، الحافلة أم المترو؟
02924116-n	arb:exe	5	لماذا تأخّرت؟ ... لأنّ الحافلة لم تأت.
02924116-n	arb:exe	6	اركبي الحافلة رقم ١٢ وانزلي في المحطّة الثالثة.‎
02924116-n	arb:exe	7	أيّ حافلة يجب أن آخذها؟
02924116-n	arb:exe	8	إذا هطل المطر فسأذهب بالحافلة.
02924116-n	arb:count	حَافِلَةٌ	1
02924116-n	arb:pron	حَافِلَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1204.mp3	
01614426-v	arb:lemma	ألصق (يلصق 
01614426-v	arb:lemma	إلصاق)
01614426-v	arb:exe	0	ألصق هذا الطابع على الظرف، ثم ضعه في صندوق البريد.
01614426-v	arb:pron	إلصاق)			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_200.mp3	
80001230-x	arb:lemma	نَعَمْ
80001230-x	arb:exe	0	هل لك إخوة وأخوات؟ ... نعم، لي أخوان وأختان.
80001230-x	arb:exe	1	وهل أكلت الـ"سوشي" هناك؟ ... نعم، لقد أكلت السوشي.
80001230-x	arb:exe	2	هل عندك وقت غداً، يا سعاد؟ ... نعم، ولكن لماذا؟
80001230-x	arb:exe	3	هل سافرت إلى اليابان من قبل؟ ... نعم، سافرت مرّة واحدة.
80001230-x	arb:exe	4	هل يمكنني الجلوس هنا؟ ... نعم، تفضّل.
80001230-x	arb:exe	5	هل زرت سوق "تسوكيجي" المشهور بطوكيو؟ ... نعم، لقد زرته.
80001230-x	arb:exe	6	هل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟ … نعم.
80001230-x	arb:exe	7	هل يمكنني الجلوس هنا؟ ... نعم، تفضّل.
80001230-x	arb:exe	8	وهل عندك حرارة أيضاً؟ ... نعم، حرارتي مرتفعة قليلاً.
80001230-x	arb:exe	9	ما أجمل الطبيعة في فصل الربيع! ... نعم، بالفعل.
80001230-x	arb:exe	10	هل هذا سعر نهائيّ؟ ... نعم، إنّه سعر نهائيّ.
80001230-x	arb:exe	11	هل سافرت إلى اليابان من قبل؟ ... نعم، سافرت مرّة واحدة.
80001230-x	arb:exe	12	ما زال الوقت مبكّراً. ... نعم، ولكنّني في عجلة.
80001230-x	arb:exe	13	أليس معك صرف؟ ... نعم، ليس معي صرف.‍
80001230-x	arb:exe	14	أعمل، نعمل، تعمل، تعملين، تعملون، يعمل، تعمل، يعملون
80001230-x	arb:exe	15	هل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟ … نعم.
80001230-x	arb:exe	16	هل أنت بخير؟ ... نعم، الحمد لله.
80001230-x	arb:exe	17	وهل أكلت الـ"سوشي" هناك؟ ... نعم، لقد أكلت السوشي.
80001230-x	arb:exe	18	أليس معك صرف؟ ... نعم، ليس معي صرف.‍
80001230-x	arb:exe	19	هل زرت سوق "تسوكيجي" المشهور بطوكيو؟ ... نعم، لقد زرته.
80001230-x	arb:pron	نَعَمْ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_193.mp3	
01184932-a	arb:lemma	ثَقِيلٌ
01184932-a	arb:exe	0	وضع المسافرون حقائبهم الثقيلة على الأرض.
01184932-a	arb:exe	1	يبدو أنّ حقيبتك ثقيلة. دعيني أحملها لك؟
01184932-a	arb:pron	ثَقِيلٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_253.mp3	
07881800-n	arb:lemma	مشروبات
07881800-n	arb:exe	0	هناك محلات لبيع العصائر والمشروبات.
07881800-n	arb:count	مشروبات	1
07881800-n	arb:pron	مشروبات			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_164.mp3	
01119192-a	arb:lemma	مَاهِرٌ
01119192-a	arb:exe	0	أخي هو لاعب كرة قدم ماهر.
01119192-a	arb:exe	1	كل عام نقدم مسرحية باللغة العربية في مهرجان الجامعة الذي يقام في شهر نوفمبر.
01119192-a	arb:pron	مَاهِرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_19.mp3	
02226162-a	arb:lemma	مَاهِرٌ
02226162-a	arb:exe	0	أخي هو لاعب كرة قدم ماهر.
02226162-a	arb:exe	1	كل عام نقدم مسرحية باللغة العربية في مهرجان الجامعة الذي يقام في شهر نوفمبر.
02226162-a	arb:pron	مَاهِرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_19.mp3	
01838916-a	arb:lemma	مَاهِرٌ
01838916-a	arb:exe	0	أخي هو لاعب كرة قدم ماهر.
01838916-a	arb:exe	1	كل عام نقدم مسرحية باللغة العربية في مهرجان الجامعة الذي يقام في شهر نوفمبر.
01838916-a	arb:pron	مَاهِرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_19.mp3	
03467517-n	arb:lemma	جيتار
03467517-n	arb:exe	0	يغني ذلك المطرب وهو يعزف على الجيتار.
03467517-n	arb:count	جيتار	1
03467517-n	arb:pron	جيتار			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_409.mp3	
03613294-n	arb:lemma	مِفْتَاحٌ
03613294-n	arb:exe	0	يقول أبي دائما إن الصبر مفتاح الفرج.
03613294-n	arb:exe	1	هٰذَا مِفْتَاحٌ.
03613294-n	arb:exe	2	افتح الشباك كي نجدد الهواء.
03613294-n	arb:exe	3	المصرف لم يفتح بعد.‎
03613294-n	arb:exe	4	افتح فمك قليلاً.‎
03613294-n	arb:exe	5	افتح فمك قليلاً.
03613294-n	arb:count	مِفْتَاحٌ	1
03613294-n	arb:pron	مِفْتَاحٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_73.mp3	
01553629-a	arb:lemma	كَثِيرٌ
01553629-a	arb:exe	0	في مكتبة الجامعة كتب ومجلات كثيرة.
01553629-a	arb:exe	1	التدخين سبب في كثير من الأمراض.
01553629-a	arb:exe	2	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
01553629-a	arb:exe	3	في مكتب البريد المركزي شبابيك كثيرة.
01553629-a	arb:exe	4	يذهب كثير من السياح اليابانيين إلى مصر كل سنة.
01553629-a	arb:exe	5	يرجع كثير من اليابانيين إلى بيت العائلة في إجازة منتصف شهر أعسطس.
01553629-a	arb:exe	6	هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.
01553629-a	arb:exe	7	يبدو أنّك تحبّها كثيراً.
01553629-a	arb:exe	8	فلقد اشتقت إليها كثيراً.
01553629-a	arb:exe	9	أعطاهم المدرّس واجبات كثيرة.‎
01553629-a	arb:exe	10	اشتريت كثيراً من الطعام والمشروبات.
01553629-a	arb:exe	11	لم أرها منذ زمن طويل وأشتاق إليها كثيراً.‎
01553629-a	arb:exe	12	فلقد اشتقت إليها كثيراً.
01553629-a	arb:exe	13	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01553629-a	arb:exe	14	تأخّرنا كثيراً.
01553629-a	arb:exe	15	يبدو أنّك تحبّها كثيراً.
01553629-a	arb:exe	16	هو يعيد كلامه كثيرا كالمسجل.
01553629-a	arb:exe	17	عندما كنت شابّة لم أكن أدرس كثيراً.
01553629-a	arb:exe	18	أعطى المدرّس طلّابه واجبات كثيرة.‎
01553629-a	arb:exe	19	اشتريت كثيراً من الطعام والمشروبات.
01553629-a	arb:exe	20	يبدو أنّك تحبّها كثيراً.
01553629-a	arb:exe	21	عندما كنت شابّاً لم أكن أدرس كثيراً.
01553629-a	arb:exe	22	يشبه والده كثيرا بوجهه الأحمر وجسمه السمين.
01553629-a	arb:exe	23	لقد سمعت هذه القصة كثيرا.
01553629-a	arb:exe	24	أعجبتني روايتها الجديدة كثيرا.
01553629-a	arb:exe	25	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01553629-a	arb:exe	26	فلقد اشتقت إليها كثيراً.
01553629-a	arb:exe	27	أحب الخضراوات كثيرا ولا سيما الطماطم.
01553629-a	arb:exe	28	تأخّرنا كثيراً.
01553629-a	arb:exe	29	يبدو أنّك تحبّها كثيراً.
01553629-a	arb:exe	30	لعبت كرة القدم مع زملائي في الشركة وتعبت كثيراً.
01553629-a	arb:exe	31	لعبت كرة القدم مع زملائي في الشركة وتعبت كثيراً.
01553629-a	arb:exe	32	عندما كنت شابّاً لم أكن أدرس كثيراً.
01553629-a	arb:exe	33	هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.
01553629-a	arb:exe	34	في الحقيقة، عندي الكثير من الهوايات.
01553629-a	arb:exe	35	نعم، ولكن لو كنت أعرف مفردات أكثر لاستطعت أن أقرأها أسرع.
01553629-a	arb:exe	36	أيّهما يناسبني أكثر في رأيك؟
01553629-a	arb:exe	37	أيّهما يناسبني أكثر في رأيك؟ ... كلاهما يناسبك.
01553629-a	arb:exe	38	أيّهما يناسبني أكثر في رأيك؟
01553629-a	arb:exe	39	أيّهما يناسبني أكثر في رأيك؟
01553629-a	arb:exe	40	أيّهما يناسبني أكثر في رأيك؟
01553629-a	arb:exe	41	هذا الحذاء مريح أكثر من ذلك.
01553629-a	arb:exe	42	نعم، ولكن لو كان لي مفردات أكثر لقدرت أن أقرأها أسرع.
01553629-a	arb:exe	43	هذه الغرفة رطبة أكثر من اللازم.
01553629-a	arb:pron	كَثِيرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_269.mp3	
01551633-a	arb:lemma	كَثِيرٌ
01551633-a	arb:exe	0	في مكتبة الجامعة كتب ومجلات كثيرة.
01551633-a	arb:exe	1	التدخين سبب في كثير من الأمراض.
01551633-a	arb:exe	2	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
01551633-a	arb:exe	3	في مكتب البريد المركزي شبابيك كثيرة.
01551633-a	arb:exe	4	يذهب كثير من السياح اليابانيين إلى مصر كل سنة.
01551633-a	arb:exe	5	يرجع كثير من اليابانيين إلى بيت العائلة في إجازة منتصف شهر أعسطس.
01551633-a	arb:exe	6	هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.
01551633-a	arb:exe	7	يبدو أنّك تحبّها كثيراً.
01551633-a	arb:exe	8	فلقد اشتقت إليها كثيراً.
01551633-a	arb:exe	9	أعطاهم المدرّس واجبات كثيرة.‎
01551633-a	arb:exe	10	اشتريت كثيراً من الطعام والمشروبات.
01551633-a	arb:exe	11	لم أرها منذ زمن طويل وأشتاق إليها كثيراً.‎
01551633-a	arb:exe	12	فلقد اشتقت إليها كثيراً.
01551633-a	arb:exe	13	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01551633-a	arb:exe	14	تأخّرنا كثيراً.
01551633-a	arb:exe	15	يبدو أنّك تحبّها كثيراً.
01551633-a	arb:exe	16	هو يعيد كلامه كثيرا كالمسجل.
01551633-a	arb:exe	17	عندما كنت شابّة لم أكن أدرس كثيراً.
01551633-a	arb:exe	18	أعطى المدرّس طلّابه واجبات كثيرة.‎
01551633-a	arb:exe	19	اشتريت كثيراً من الطعام والمشروبات.
01551633-a	arb:exe	20	يبدو أنّك تحبّها كثيراً.
01551633-a	arb:exe	21	عندما كنت شابّاً لم أكن أدرس كثيراً.
01551633-a	arb:exe	22	يشبه والده كثيرا بوجهه الأحمر وجسمه السمين.
01551633-a	arb:exe	23	لقد سمعت هذه القصة كثيرا.
01551633-a	arb:exe	24	أعجبتني روايتها الجديدة كثيرا.
01551633-a	arb:exe	25	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01551633-a	arb:exe	26	فلقد اشتقت إليها كثيراً.
01551633-a	arb:exe	27	أحب الخضراوات كثيرا ولا سيما الطماطم.
01551633-a	arb:exe	28	تأخّرنا كثيراً.
01551633-a	arb:exe	29	يبدو أنّك تحبّها كثيراً.
01551633-a	arb:exe	30	لعبت كرة القدم مع زملائي في الشركة وتعبت كثيراً.
01551633-a	arb:exe	31	لعبت كرة القدم مع زملائي في الشركة وتعبت كثيراً.
01551633-a	arb:exe	32	عندما كنت شابّاً لم أكن أدرس كثيراً.
01551633-a	arb:exe	33	هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.
01551633-a	arb:exe	34	في الحقيقة، عندي الكثير من الهوايات.
01551633-a	arb:exe	35	نعم، ولكن لو كنت أعرف مفردات أكثر لاستطعت أن أقرأها أسرع.
01551633-a	arb:exe	36	أيّهما يناسبني أكثر في رأيك؟
01551633-a	arb:exe	37	أيّهما يناسبني أكثر في رأيك؟ ... كلاهما يناسبك.
01551633-a	arb:exe	38	أيّهما يناسبني أكثر في رأيك؟
01551633-a	arb:exe	39	أيّهما يناسبني أكثر في رأيك؟
01551633-a	arb:exe	40	أيّهما يناسبني أكثر في رأيك؟
01551633-a	arb:exe	41	هذا الحذاء مريح أكثر من ذلك.
01551633-a	arb:exe	42	نعم، ولكن لو كان لي مفردات أكثر لقدرت أن أقرأها أسرع.
01551633-a	arb:exe	43	هذه الغرفة رطبة أكثر من اللازم.
01551633-a	arb:pron	كَثِيرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_269.mp3	
01552419-a	arb:lemma	كَثِيرٌ
01552419-a	arb:exe	0	في مكتبة الجامعة كتب ومجلات كثيرة.
01552419-a	arb:exe	1	التدخين سبب في كثير من الأمراض.
01552419-a	arb:exe	2	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
01552419-a	arb:exe	3	في مكتب البريد المركزي شبابيك كثيرة.
01552419-a	arb:exe	4	يذهب كثير من السياح اليابانيين إلى مصر كل سنة.
01552419-a	arb:exe	5	يرجع كثير من اليابانيين إلى بيت العائلة في إجازة منتصف شهر أعسطس.
01552419-a	arb:exe	6	هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.
01552419-a	arb:exe	7	يبدو أنّك تحبّها كثيراً.
01552419-a	arb:exe	8	فلقد اشتقت إليها كثيراً.
01552419-a	arb:exe	9	أعطاهم المدرّس واجبات كثيرة.‎
01552419-a	arb:exe	10	اشتريت كثيراً من الطعام والمشروبات.
01552419-a	arb:exe	11	لم أرها منذ زمن طويل وأشتاق إليها كثيراً.‎
01552419-a	arb:exe	12	فلقد اشتقت إليها كثيراً.
01552419-a	arb:exe	13	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01552419-a	arb:exe	14	تأخّرنا كثيراً.
01552419-a	arb:exe	15	يبدو أنّك تحبّها كثيراً.
01552419-a	arb:exe	16	هو يعيد كلامه كثيرا كالمسجل.
01552419-a	arb:exe	17	عندما كنت شابّة لم أكن أدرس كثيراً.
01552419-a	arb:exe	18	أعطى المدرّس طلّابه واجبات كثيرة.‎
